Year,Month,Sector,Issued,Refused,Withdrawn,Prefix
2011,Jul,Agriculture & Fisheries,19.0,6.0,1.0,
2011,Jul,Catering,49.0,15.0,2.0,
2011,Jul,Domestic,7.0,0.0,0.0,
2011,Jul,Education,10.0,3.0,0.0,
2011,Jul,Entertainment,2.0,2.0,0.0,
2011,Jul,Industry,43.0,3.0,0.0,
2011,Jul,Medical & Nursing,64.0,15.0,7.0,
2011,Jul,Service Industry,154.0,48.0,7.0,
2011,Jul,Sport,5.0,0.0,1.0,
2011,Aug,Agriculture & Fisheries,20.0,4.0,1.0,
2011,Aug,Catering,32.0,22.0,1.0,
2011,Aug,Domestic,2.0,3.0,1.0,
2011,Aug,Education,15.0,0.0,0.0,
2011,Aug,Entertainment,2.0,1.0,0.0,
2011,Aug,Exchange Agreements,2.0,0.0,0.0,
2011,Aug,Industry,64.0,9.0,4.0,
2011,Aug,Medical & Nursing,145.0,5.0,4.0,
2011,Aug,Service Industry,197.0,33.0,2.0,
2011,Aug,Sport,5.0,2.0,0.0,
2011,Sep,Agriculture & Fisheries,11.0,5.0,0.0,
2011,Sep,Catering,37.0,18.0,0.0,
2011,Sep,Domestic,1.0,2.0,0.0,
2011,Sep,Education,11.0,0.0,0.0,
2011,Sep,Entertainment,4.0,1.0,0.0,
2011,Sep,Industry,46.0,12.0,2.0,
2011,Sep,Medical & Nursing,126.0,9.0,2.0,
2011,Sep,Service Industry,193.0,44.0,4.0,
2011,Sep,Sport,5.0,1.0,0.0,
2011,Oct,Agriculture & Fisheries,12.0,3.0,0.0,
2011,Oct,Catering,29.0,25.0,1.0,
2011,Oct,Domestic,2.0,1.0,0.0,
2011,Oct,Education,10.0,2.0,0.0,
2011,Oct,Entertainment,6.0,2.0,0.0,
2011,Oct,Exchange Agreements,1.0,0.0,0.0,
2011,Oct,Industry,39.0,9.0,1.0,
2011,Oct,Medical & Nursing,85.0,14.0,1.0,
2011,Oct,Service Industry,158.0,22.0,18.0,
2011,Oct,Sport,3.0,0.0,2.0,
2011,Nov,Agriculture & Fisheries,17.0,5.0,1.0,
2011,Nov,Catering,30.0,30.0,3.0,
2011,Nov,Domestic,4.0,2.0,0.0,
2011,Nov,Education,0.0,2.0,0.0,
2011,Nov,Entertainment,0.0,1.0,0.0,
2011,Nov,Exchange Agreements,7.0,0.0,0.0,
2011,Nov,Industry,42.0,12.0,3.0,
2011,Nov,Medical & Nursing,71.0,16.0,5.0,
2011,Nov,Service Industry,138.0,47.0,6.0,
2011,Nov,Sport,5.0,0.0,0.0,
2011,Dec,Agriculture & Fisheries,10.0,4.0,1.0,
2011,Dec,Catering,30.0,17.0,0.0,
2011,Dec,Domestic,2.0,0.0,0.0,
2011,Dec,Education,12.0,0.0,0.0,
2011,Dec,Industry,50.0,11.0,0.0,
2011,Dec,Medical & Nursing,42.0,7.0,2.0,
2011,Dec,Service Industry,142.0,39.0,6.0,
2011,Dec,Sport,1.0,0.0,0.0,
2012,Jan,Agriculture & Fisheries,17.0,3.0,0.0,
2012,Jan,Catering,37.0,22.0,1.0,
2012,Jan,Domestic,1.0,1.0,0.0,
2012,Jan,Education,11.0,0.0,0.0,
2012,Jan,Entertainment,6.0,0.0,0.0,
2012,Jan,Industry,39.0,9.0,4.0,
2012,Jan,Medical & Nursing,79.0,12.0,0.0,
2012,Jan,Service Industry,190.0,42.0,2.0,
2012,Jan,Sport,1.0,2.0,0.0,
2012,Feb,Agriculture & Fisheries,14.0,16.0,0.0,
2012,Feb,Catering,29.0,14.0,1.0,
2012,Feb,Domestic,4.0,1.0,0.0,
2012,Feb,Education,5.0,0.0,0.0,
2012,Feb,Entertainment,2.0,2.0,1.0,
2012,Feb,Exchange Agreements,1.0,0.0,0.0,
2012,Feb,Industry,48.0,12.0,1.0,
2012,Feb,Medical & Nursing,75.0,11.0,2.0,
2012,Feb,Service Industry,159.0,28.0,3.0,
2012,Feb,Sport,2.0,0.0,0.0,
2012,Mar,Agriculture & Fisheries,18.0,5.0,0.0,
2012,Mar,Catering,35.0,19.0,0.0,
2012,Mar,Domestic,5.0,0.0,0.0,
2012,Mar,Education,2.0,3.0,0.0,
2012,Mar,Entertainment,2.0,0.0,0.0,
2012,Mar,Exchange Agreements,1.0,0.0,0.0,
2012,Mar,Industry,64.0,22.0,0.0,
2012,Mar,Medical & Nursing,52.0,5.0,1.0,
2012,Mar,Service Industry,195.0,41.0,7.0,
2012,Mar,Sport,4.0,1.0,0.0,
2012,Apr,Agriculture & Fisheries,4.0,3.0,0.0,
2012,Apr,Catering,34.0,14.0,2.0,
2012,Apr,Domestic,3.0,0.0,1.0,
2012,Apr,Education,5.0,1.0,0.0,
2012,Apr,Entertainment,1.0,1.0,0.0,
2012,Apr,Industry,39.0,9.0,1.0,
2012,Apr,Medical & Nursing,54.0,6.0,1.0,
2012,Apr,Service Industry,134.0,28.0,7.0,
2012,Apr,Sport,4.0,1.0,0.0,
2012,May,Agriculture & Fisheries,9.0,2.0,0.0,
2012,May,Catering,35.0,12.0,2.0,
2012,May,Domestic,6.0,2.0,0.0,
2012,May,Education,6.0,2.0,0.0,
2012,May,Entertainment,0.0,1.0,0.0,
2012,May,Exchange Agreements,7.0,0.0,0.0,
2012,May,Industry,58.0,3.0,1.0,
2012,May,Medical & Nursing,46.0,8.0,2.0,
2012,May,Service Industry,140.0,27.0,4.0,
2012,May,Sport,4.0,1.0,0.0,
